artifact,required,columns,notes
predictions.csv,yes,panel_id|pred_label|bath_run|prob_clean|prob_cratered,"one row per held-out record, ascending id; labels use the operating threshold"
validation_predictions.csv,yes,panel_id|actual|pred_label|correct|bath_run|prob_clean|prob_cratered,"one row per validation record, ascending id"
metrics.json,yes,task_kind|target_column|selected_k|operating_threshold|n_fit|n_validation|n_test|validation_accuracy|validation_macro_f1|validation_expected_cost,single JSON object; numeric fields rounded to 6 decimals
selection_report.csv,yes,candidate_k|validation_macro_f1|selected,one row per k in grid order; exactly one selected row
threshold_report.csv,yes,threshold|false_positives|false_negatives|expected_cost|worst_group_cost|selected,"one row per configured threshold in grid order; the selected row minimizes the worst per-group expected cost, ties to the earlier grid entry"
confusion_matrix.csv,yes,actual|predicted|count,"validation rows; outer loop actual, inner loop predicted, both in class order"
class_metrics.csv,yes,class|precision|recall|f1|support,validation rows; classes in class order
calibration_bins.csv,yes,bin_low|bin_high|count|mean_predicted|observed_rate,five fixed-width bins over positive-class probability; empty bins report zeros
group_error_report.csv,yes,group_value|n_validation|accuracy,"validation rows grouped by the group column, ascending group value"
feature_summary.csv,yes,feature|data_type|missing_fit|missing_validation|missing_test,configured features in feature_roles order; missing counts per split
neighbor_evidence.csv,yes,panel_id|nearest_reference_id|nearest_distance,first 50 held-out rows by id; nearest refit-reference record and its distance
fit_reference_calibration.csv,yes,bin|lower_edge|upper_edge|count|mean_predicted|observed_rate,"five bins; interior edges are fit-set leave-one-out probability order statistics; validation rows binned by those edges, edge ties to the lower bin"
neighbor_detail.csv,yes,panel_id|neighbor_rank|neighbor_id|distance|weight_share,first 40 held-out rows by id; the selected-k refit neighbors ordered by 6-dp distance then reference id
loo_audit.csv,yes,panel_id|actual|loo_positive_prob|loo_pred_label|loo_correct,"12 fit rows at stride floor(n_fit/12) in ascending id order; leave-one-out probability at the selected k, labeled at the operating threshold"
